,Extinct Location,Average Mass,Extant Location,Average Mass,Comparison Location,Mean Extinct Mass - Mean Extant Mass
0,AF,970038.4615384615,AF,22208.229330708662,AF,947830.2322077529
1,AUS,188355.55555555556,AUS,16918.326819923368,AUS,171437.2287356322
2,Insular,81912.13103448275,Af,-999.0,Insular,74154.96014480303
3,SA,973072.4025974026,EA,21149.60204479066,SA,969207.7062640692
4,,,Insular,7757.170889679718,,
5,,,Oceanic,8238884.867948718,,
6,,,SA,3864.696333333327,,
