,ID1,ID2,1-Euclidean Distance
0,226,259,0.8608222265285763
1,226,350,0.9796803802920535
2,226,331,0.9593667188585829
3,226,205,0.9515785492776643
4,226,206,0.9780101076698441
5,226,303,0.9094391331303582
6,226,208,0.9533465962360796
7,226,254,0.8253719554459436
8,226,307,0.9229402152556628
9,226,244,0.9746883985482758
10,226,238,0.9713774194488838
11,226,343,0.8269706719958438
12,226,308,0.8640141622000848
13,226,346,0.9319671890159644
14,226,319,0.8704013057277453
15,226,220,0.9152887521532631
16,226,317,0.8863535677694969
17,226,222,0.9931165836726987
18,226,309,0.9866579999452931
19,259,350,0.8836715634664349
20,259,331,0.8405095218728371
21,259,205,0.866926820138499
22,259,206,0.8263684583261557
23,259,303,0.8017007201555614
24,259,208,0.879931722590015
25,259,254,0.9634250727932672
26,259,307,0.8767538707250432
27,259,244,0.8414279939722443
28,259,238,0.8029229871262649
29,259,343,0.9364320726220192
30,259,308,0.9849067465403798
31,259,346,0.9023227522209019
32,259,319,0.9739306360575591
33,259,220,0.8700807997354214
34,259,317,0.8855694184161337
35,259,222,0.8125273484814854
36,259,309,0.8370533249261702
37,350,331,0.9768968137484516
38,350,205,0.9883719313922605
39,350,206,0.9614330517270652
40,350,303,0.9404655299697229
41,350,208,0.9874315545649884
42,350,254,0.9059590878072779
43,350,307,0.9835010652097421
44,350,244,0.9271580075668172
45,350,238,0.9109668452304848
46,350,343,0.8703045317593431
47,350,308,0.8580044006802027
48,350,346,0.947935192897934
49,350,319,0.9319205682070457
50,350,220,0.9653902275930181
51,350,317,0.9789266880263976
52,350,222,0.9206851569786952
53,350,309,0.9641482138714751
54,331,205,0.9321362508459283
55,331,206,0.9978805384531527
56,331,303,0.9315522107982271
57,331,208,0.9441928663984178
58,331,254,0.8545105203275484
59,331,307,0.9800320477127338
60,331,244,0.9467621251605587
61,331,238,0.9326975519915265
62,331,343,0.8694879996704643
63,331,308,0.8695475414812366
64,331,346,0.9275825449868961
65,331,319,0.8777844368906721
66,331,220,0.9830648495418908
67,331,317,0.9841878551555971
68,331,222,0.9907989397633746
69,331,309,0.9790721172906031
70,205,206,0.9139282620818946
71,205,303,0.9401146466206707
72,205,208,0.990304114490161
73,205,254,0.8767381252627154
74,205,307,0.9240830899058747
75,205,244,0.9304347622558485
76,205,238,0.9143741792798397
77,205,343,0.8939026721522669
78,205,308,0.8277330679179109
79,205,346,0.9727097708493058
80,205,319,0.9204632185287411
81,205,220,0.9703219704331377
82,205,317,0.9723876123876124
83,205,222,0.9199808416315801
84,205,309,0.9681277921687877
85,206,303,0.9877013323487791
86,206,208,0.9391852513490859
87,206,254,0.8488568589223264
88,206,307,0.9614742856473419
89,206,244,0.9916331397363874
90,206,238,0.9903469285001245
91,206,343,0.821610490571151
92,206,308,0.8108141783016749
93,206,346,0.9095011076759406
94,206,319,0.8636154608609148
95,206,220,0.9558328670381907
96,206,317,0.9329028213803781
97,206,222,0.9890148437408912
98,206,309,0.9921136234444902
99,303,208,0.9399313014331226
100,303,254,0.8644434203114828
101,303,307,0.921385360610616
102,303,244,0.9776708130763329
103,303,238,0.9997859061282567
104,303,343,0.8133293122065066
105,303,308,0.8298744371612553
106,303,346,0.8702925396677148
107,303,319,0.8412711341117634
108,303,220,0.9309909335844303
109,303,317,0.9049422242193327
110,303,222,0.9905863438307725
111,303,309,0.9725637542850759
112,208,254,0.8734849832676748
113,208,307,0.9109223357677877
114,208,244,0.9147100482712341
115,208,238,0.8809677037408499
116,208,343,0.8947487006813832
117,208,308,0.914060955164854
118,208,346,0.9589885566629752
119,208,319,0.9270656717741578
120,208,220,0.9886166505412777
